ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090819.052114,stop,none,,,,,,
1770090819.090460,stop,none,,,,,,
1770090819.123800,stop,none,,,,,,
1770090819.155754,stop,none,,,,,,
1770090819.189565,stop,none,,,,,,
1770090819.219187,stop,none,,,,,,
1770090819.257118,stop,none,,,,,,
1770090819.290045,stop,none,,,,,,
1770090819.323829,stop,none,,,,,,
1770090819.356515,stop,none,,,,,,
1770090819.385672,stop,none,,,,,,
1770090819.421760,stop,none,,,,,,
1770090819.455557,stop,none,,,,,,
1770090819.488445,stop,none,,,,,,
1770090819.522568,stop,none,,,,,,
1770090819.557133,stop,none,,,,,,
1770090819.591876,stop,cv,,,,,,
1770090819.619476,stop,cv,,,,,,
1770090819.657116,stop,cv,,,,,,
1770090819.690447,stop,cv,,,,,,
1770090819.722471,stop,cv,,,,,,
1770090819.755152,stop,cv,,,,,,
1770090819.790445,stop,cv,,,,,,
1770090819.823786,stop,cv,,,,,,
1770090819.852272,stop,cv,,,,,,
1770090819.887037,stop,cv,815.4826927185059,1017.609543800354,833.8693428039551,971.5287637710571,0.5439377427101135,0.8693395853042603
1770090819.919986,stop,cv,815.4826927185059,1017.609543800354,833.8693428039551,971.5287637710571,0.5439377427101135,0.8693395853042603
1770090819.952563,stop,cv,815.4826927185059,1017.609543800354,833.8693428039551,971.5287637710571,0.5439377427101135,0.8693395853042603
1770090819.990865,stop,cv,862.0839500427246,885.6206560134888,836.2226486206055,894.352662563324,0.5296436548233032,0.8645855784416199
1770090820.018994,stop,cv,862.0839500427246,885.6206560134888,836.2226486206055,894.352662563324,0.5296436548233032,0.8645855784416199
1770090820.057122,stop,cv,879.4013786315918,887.0230865478516,948.6812782287598,917.1712875366211,0.5506308674812317,0.8437586426734924
1770090820.091718,stop,cv,877.2794151306152,880.2403593063354,963.2164764404297,924.4141530990601,0.5677655339241028,0.826085090637207
